property_master_id,derived_age_years,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_locality_price_premium,derived_accessibility_score,derived_amenity_score,derived_hpi_growth,derived_local_price_growth,derived_rent_per_sqft,derived_rental_yield,derived_school_access,derived_hospital_access,derived_metro_access,derived_transit_density,derived_age_years_log1p,derived_area_per_bhk_log1p,derived_locality_price_premium_log1p,derived_amenity_score_log1p,derived_rent_per_sqft_log1p,derived_rental_yield_log1p,derived_school_access_log1p,derived_hospital_access_log1p,derived_metro_access_log1p,derived_city_locality,derived_market_regime
PROP-5A55B38F8349,9.5,675.0,1.0,0.833,0.5,1.0,27.2,0.0,2.39,-0.75,30.0,4.0,0.194,0.522,0.43,0.0,2.3514,6.5162,0.6931,0.0,3.434,1.6094,0.1773,0.42,0.3577,Bengaluru_Chikkaballapura,Stable
PROP-907251C425CA,9.5,471.43,0.14,0.833,0.5,0.673,18.3,3.0,8.16,2.79,20.2,1.1314,0.177,0.173,0.188,0.0,2.3514,6.1579,0.5146,1.3863,3.054,0.7568,0.163,0.1596,0.1723,Bengaluru_Lingarajapuram,Growth
PROP-CFE4B922DAAF,9.5,533.33,1.0,0.833,0.5,1.0,25.0,4.0,0.0,1.83,30.0,5.6,0.283,0.199,0.158,2.0,2.3514,6.281,0.6931,1.6094,3.434,1.8871,0.2492,0.1815,0.1467,Bengaluru_Sonnur,Declining
PROP-3D3525F11893,9.5,800.0,1.33,0.833,0.5,1.0,58.5,0.0,4.24,1.83,30.0,1.0633,0.483,1.692,2.793,0.0,2.3514,6.6859,0.6931,0.0,3.434,0.7243,0.3941,0.9903,1.3332,Bengaluru_Rajajinagar,Stable
PROP-6E535C2D891F,9.5,612.5,1.5,0.833,0.5,0.724,14.8,0.0,4.44,-0.38,21.71,6.1622,0.106,0.123,0.271,0.0,2.3514,6.4192,0.5446,0.0,3.1228,1.9688,0.1007,0.116,0.2398,Bengaluru_Sarjapur,Stable
PROP-43C691997CD5,9.5,600.0,2.0,0.833,0.5,1.029,47.5,8.0,8.44,3.26,30.86,7.7143,0.428,0.358,0.601,2.0,2.3514,6.3986,0.7075,2.1972,3.4614,2.165,0.3563,0.306,0.4706,Bengaluru_Yelahanka,Growth
PROP-F24A817B0BB3,9.5,608.0,1.5,0.833,0.826,1.359,38.1,9.0,10.18,2.02,40.76,5.8615,0.485,0.365,0.372,3.0,2.3514,6.4118,0.8582,2.3026,3.7319,1.9259,0.3954,0.3112,0.3163,Bengaluru_Whitefield,Growth
PROP-4A18C298D825,9.5,450.0,2.0,0.833,0.5,0.513,16.3,0.0,7.29,2.27,15.38,2.4615,0.334,0.102,0.107,0.0,2.3514,6.1115,0.4141,0.0,2.7961,1.2417,0.2882,0.0971,0.1017,Bengaluru_Kengeri Satellite Town,Growth
PROP-33BC4D1137B5,9.5,800.0,1.5,0.833,0.5,1.0,13.0,0.0,1.97,1.49,30.0,4.8837,0.066,0.425,0.088,0.0,2.3514,6.6859,0.6931,0.0,3.434,1.7722,0.0639,0.3542,0.0843,Bengaluru_Jaya Chamarajendra Nagar,Stable
PROP-87659B04CC59,9.5,652.5,1.5,0.833,0.5,1.0,28.3,4.0,8.44,3.26,30.0,5.122,0.333,0.264,0.36,2.0,2.3514,6.4823,0.6931,1.6094,3.434,1.8119,0.2874,0.2343,0.3075,Bengaluru_Peenya,Growth
