property_master_id,price_inr,city,locality,property_type,bhk,bathrooms,balconies,builtup_area_sqft,floor_no,total_floors,parking,furnishing,facing,latitude,longitude,schools_distance_km,hospitals_distance_km,metro_stations_distance_km,railway_stations_distance_km,malls_distance_km,parks_distance_km,transit_stations_distance_km,accessibility_score,avg_monthly_rent,median_monthly_rent,median_rent_per_sqft,rental_listing_count,hist_hpi_market,hist_qoq_growth,hist_yoy_growth,hist_market_regime,repo_rate,bank_rate,CRR,SLR,repo_rate_change,repo_rate_3m_change,repo_rate_12m_change,hist_cpi_index,hist_cpi_yoy_growth,hist_cpi_3m_change,hist_cpi_12m_change,rera_registered,project_status,completion_percent,construction_duration_months,project_age,developer_project_count,developer_completion_rate,developer_lapsed_project_count,aqi,pm25,pm10,aqi_30d_avg,aqi_90d_avg,derived_area_per_bhk,derived_bathrooms_per_bhk,derived_carpet_efficiency,derived_floor_ratio,derived_area_per_bhk_log1p,derived_carpet_efficiency_log1p,derived_rent_per_sqft_log1p,historical_locality_median_ppsf,historical_rental_yield_pct,derived_historical_rental_yield_log1p
PROP-29E05F68CDDC,7500000,Chennai,Veppampattu,Independent House,7,3,0,1000,4.0,,,,,13.02106669602598,80.36287375873185,3.86,4.809,6.338,7.15,10.392,1.109,4.071,23.3,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,56,30,49,56,62.3,142.857,0.429,,,4.968819750614096,,,6033.485000000001,,
PROP-222B732B6787,7200000,Bengaluru,Krishnarajapura,Apartment,3,3,1,1311,3.0,4.0,,,,12.922354681579932,77.37931126725316,6.03,0.586,1.186,3.891,7.943,2.109,4.96,37.9,56584.17,35000.0,30.0,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,42.9,35.0,15.0,12,0.333,0,64,34,55,64,67.3,437.0,1.0,,0.75,6.082218910376446,,3.4339872044851463,6033.485000000001,5.309802423029345,1.8421043643401331
PROP-16D78D022184,6900000,Bengaluru,Singasandra,Independent House,4,3,1,902,,,,,North-East,13.06566826209474,77.77193381535483,3.385,5.453,4.644,10.949,6.784,5.09,3.404,20.6,49500.0,51500.0,24.06,4.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,225.5,0.75,0.942,,5.422744944923089,0.6637183698691331,3.221272949467922,6033.485000000001,11.355694497765626,2.514117049739792
PROP-4FF6D38EF728,8000000,Bengaluru,Mattanahalli,Apartment,2,3,0,1500,5.0,8.0,,,,13.197117628944854,77.75185082470752,4.028,13.792,14.568,14.695,12.288,8.35,7.316,8.2,56584.17,35000.0,30.0,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,750.0,1.5,,0.625,6.621405651764134,,3.4339872044851463,6033.485000000001,4.640767317727648,1.7300201054985995
PROP-F34946D37CB3,13200000,Hyderabad,Narsingi,Apartment,3,4,1,2200,3.0,,,,East,17.27899094201159,78.47992230217251,2.13,3.04,2.583,9.339,5.181,6.357,2.263,34.7,,,,,102.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,27.3,44.0,12.0,12,0.417,0,73,40,67,73,78.7,733.333,1.333,,,6.598962604207666,,,6033.485000000001,,
PROP-E83797C444F3,20000000,Bengaluru,Mathikere,Independent House,9,4,1,2400,,,,,,12.791049785572923,77.81995339021039,6.857,9.275,3.858,13.546,7.999,13.403,6.476,10.5,25000.0,25000.0,29.41,1.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,64,34,55,64,67.3,266.667,0.444,,,5.589743670607889,,3.414771501689273,6033.485000000001,2.071771123985557,1.12225430859892
PROP-9CAFF9971B06,9932000,Hyderabad,Manchirevula,Apartment,3,3,0,1528,6.0,9.0,,,East,17.628362205319547,78.55888110642599,6.016,4.952,6.738,20.652,14.311,7.604,3.271,12.1,,,,,102.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,79.2,48.0,38.0,13,0.615,0,85,45,74,85,92.7,509.333,1.0,,0.667,6.235063453821497,,,6033.485000000001,,
PROP-2A795495F12F,4500000,Chennai,Villivakkam,Apartment,2,3,1,825,1.0,2.0,,,,12.850280423717397,80.25439103045024,3.874,10.88,11.503,13.806,13.076,10.379,0.285,9.3,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,85.4,41.0,35.0,4,0.5,0,56,30,49,56,62.3,412.5,1.5,,0.5,6.024657514463746,,,6033.485000000001,,
PROP-64A81EDDB81B,27500000,Hyderabad,Kokapet,Apartment,3,4,1,2185,5.0,12.0,,,,17.59217606337745,78.32922043885486,6.884,8.825,5.826,21.79,11.89,2.661,10.08,10.2,,,,,102.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,60.0,50.0,30.0,7,0.571,0,85,45,74,85,92.7,728.333,1.333,,0.417,6.592130417835266,,,6033.485000000001,,
PROP-4C9EEF70412C,5100000,Chennai,Kolathur,Apartment,2,3,1,1160,0.0,2.0,,,,12.903854701439457,80.21285740242762,4.506,8.248,5.542,9.368,10.444,7.215,1.421,11.5,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,56,30,49,56,62.3,580.0,1.5,,0.0,6.364750756851911,,,6033.485000000001,,
PROP-49E894176BB0,4500000,Chennai,Korattur,Apartment,2,3,0,810,2.0,,,,,12.890933360391076,80.40730102495391,3.152,6.279,15.036,18.435,10.37,13.406,1.693,15.7,,,,,101.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,52.6,57.0,30.0,10,0.2,0,56,30,49,56,62.3,405.0,1.5,,,6.0063531596017325,,,6033.485000000001,,
PROP-B9AEE3105431,24500000,Hyderabad,Rai Durg,Apartment,3,4,1,2220,2.0,31.0,,,,17.202481749542713,78.39295790537737,0.977,10.698,7.165,9.727,5.926,11.518,5.387,27.1,,,,,102.1,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,73,40,67,73,78.7,740.0,1.333,,0.065,6.608000625296087,,,6033.485000000001,,
PROP-3D3460D6B89E,6700000,Bengaluru,Mahadevapura,Independent House,2,3,1,1200,,,,,,13.123306326851482,77.5486448737885,3.447,1.844,7.123,11.843,3.87,8.119,0.917,28.0,36950.0,31000.0,39.04,10.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,600.0,1.5,,,6.398594934535208,,3.68987895444702,6033.485000000001,5.137992387484181,1.8144977159693687
PROP-0D2DDF75A316,12000000,Delhi,Krishna Nagar,Independent House,2,2,1,450,,,,,,28.39816081706627,77.2522215593487,4.724,3.416,4.271,12.455,12.813,8.582,6.106,18.9,22875.0,22500.0,25.0,8.0,100.2,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,182,105,171,182,201.7,225.0,1.0,,,5.420534999272286,,3.258096538021482,6033.485000000001,9.944501395130672,2.3928371744442853
PROP-5ADC07628DDA,6400000,Bengaluru,Chokkanahalli,Apartment,2,3,0,1140,1.0,5.0,,,,12.95010007498857,77.70107380792493,2.467,1.865,6.717,6.833,1.28,0.844,2.903,46.0,20000.0,20000.0,13.61,1.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,1,Ongoing,72.4,29.0,21.0,10,0.6,0,64,34,55,64,67.3,570.0,1.5,,0.2,6.3473892096560105,,2.681706225762608,6033.485000000001,3.48929873513357,1.501696505844317
PROP-B847A3A44DE7,7000000,Bengaluru,Sathnur Village,Independent House,2,3,1,1100,,,,,,13.060749088232456,77.55771842385089,3.765,3.221,3.914,5.258,3.51,4.708,0.873,28.0,56584.17,35000.0,30.0,1777.0,101.8,0.0,0.0,Declining,6.0,6.25,4.0,19.5,0.0,0.0,-0.25,72.2,0.0,0.14,0.0,0,Unregistered,,,,0,1.0,0,61,32,53,61,63.0,550.0,1.5,,,6.311734809152915,,3.4339872044851463,6033.485000000001,6.32831906962861,1.9917461675850496
