property_master_id,city,locality,latitude,longitude,property_type,bhk,bathrooms,balconies,parking,carpet_area_sqft,builtup_area_sqft,super_builtup_area_sqft,plot_area_sqft,floor_no,total_floors,year_built,age_years,furnishing,facing,rera_registered,rera_id,listing_date,price_inr,price_lakhs,price_per_sqft,raw__property_name,raw__property_title,raw__price,raw__location,raw__description,rental_listing_count,avg_monthly_rent,median_monthly_rent,p25_monthly_rent,p75_monthly_rent,avg_rent_per_sqft,median_rent_per_sqft,avg_rental_area_sqft,rent_stddev,pct_furnished,pct_semi_furnished,dominant_bhk,rental_join_quality,annual_rent_estimate_inr,rental_yield_pct,listing_quarter,historical_quarter,hist_hpi_assessment,hist_hpi_market,hist_carpet_area_rate,hist_qoq_growth,hist_yoy_growth,hist_market_regime,hist_cpi_index,hist_cpi_yoy_growth,hist_cpi_3m_change,hist_cpi_12m_change
PROP-F4ACF6362C46,Chennai,Mahindra World City,,,Apartment,1,2,1,,,581,,,5.0,,,,,,0,,2021-02-15,2940000,29.4,5060.24,Mahindra Lifespaces Aqualilly Flexi Homes,"1 BHK Flat for sale in Mahindra World City, Chennai",₹29.4 L,"Mahindra World City, Chennai","A 1 BHK Apartment for sale in Mahindra World City, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Mahindra World City's most desired properties. Contact now for more information. This 1 BHK unit is on floor 5. There are 7 floors in this property. The price of this Apartment is Rs 28.3 L. Maintenance charges come to Rs 1700. Each unit has a built-up area of 581 Square feet. The carpet area is 357 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near Government Schoo.",,,,,,,,,,,,,none,,,2021-Q1,2020-Q4,116.61,116.05,6371.42,1.79,1.55,Stable,82.3,4.05,-1.32,3.2
PROP-A7B4990CB17F,Chennai,Pallikaranai,,,Apartment,3,3,0,,,1444,,,4.0,,,,,,0,,2019-02-15,13000000,130.0,9002.77,DRA 90 Degrees,"3 BHK Flat for sale in Pallikaranai, Chennai",₹1.3 Cr,"Rose Avenue, Pallikaranai,Chennai","Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Pallikaranai. This is an owner listed property and there is no brokerage involved. It is on floor 4 out of 11 floors. This Apartment is available at a reasonable price of Rs 1.3 Cr. Maintenance charges in this property is Rs 6500. The built up area of this property is 1444 Square feet. There are 3 bedrooms and 3 bathroom. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenities like Gym, Garden, Sports Fac.",,,,,,,,,,,,,none,,,2019-Q1,2018-Q4,106.68,106.45,5854.74,1.36,0.0,Declining,73.5,1.94,-0.81,1.4
PROP-6A8F2CA5D4A7,Chennai,West Mambalam,,,Villa,6,1,1,,,6000,,,,,,,,,0,,2018-08-15,85000000,850.0,14166.67,"Ramakrishna Puram, West Mambalam,Chennai","6 BHK Villa for sale in West Mambalam, Chennai",₹8.5 Cr,"Ramakrishna Puram, West Mambalam,Chennai","Looking for a 6 BHK Villa for sale in Chennai? Your search ends here. Buy this 6 BHK property in Chennai's finest location, West Mambalam. This is an owner listed property and there is no brokerage involved. This Villa is available at a reasonable price of Rs 8.5 Cr. Maintenance charges in this property is Rs 2000. The built up area of this property is 6000 Square feet. There are 6 bedrooms and 6 bathroom. There are a number of reputed schools in the vicinity such as Chennais Amirta International Institute Of Hotel Management, Padma Seshadri Bala Bhavan Senior Secondary School, and Hindu Vidhy.",,,,,,,,,,,,,none,,,2018-Q3,2018-Q2,103.68,103.24,5698.06,1.85,0.0,Declining,73.6,0.0,1.94,0.0
PROP-3EF538C2BB00,Chennai,Ashok Nagar,,,Apartment,2,3,1,,,878,,,3.0,,,,,,0,,2022-08-15,11500000,115.0,13097.95,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai","2 BHK Flat for sale in Ashok Nagar, Chennai",₹1.15 Cr,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai","13a,4th Street, Ragavan colony, Ashok Nagar, Chennai-83 (near to r6 police station) More About This Property A 2 BHK Apartment for sale in Ashok Nagar, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Ashok Nagar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 1.15 Cr. Maintenance charges come to Rs 1000. Each unit has a built-up area of 878 Square feet. The carpet area is 672 Square feet. This South-f.",,,,,,,,,,,,,none,,,2022-Q3,2022-Q2,137.24,137.05,7438.8,2.5,12.72,Growth,91.3,6.66,1.9,5.7
PROP-106DAED671B6,Chennai,Madambakkam,,,Apartment,2,3,0,,,944,,,1.0,2.0,,,,,0,,2019-02-15,4900000,49.0,5190.68,"Chimaera Apartments,Madambakkam, Chennai","2 BHK Flat for sale in Madambakkam, Chennai",₹49.0 L,"Chimaera Apartments,Madambakkam, Chennai","Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Chennai's top location, Madambakkam. It is situated on floor 1. The total number of floors in this Apartment is 2. The property price of this unit is Rs 49.0 L. Monthly maintenance costs Rs 750. The carpet area of this unit is 650 Square feet. The built-up area is 944 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to KVN Vethathiri Matric School, St.John's M.",,,,,,,,,,,,,none,,,2019-Q1,2018-Q4,106.68,106.45,5854.74,1.36,0.0,Declining,73.5,1.94,-0.81,1.4
PROP-D5F1834163A7,Chennai,Perungalathur,,,Apartment,3,3,0,,,1317,,,4.0,4.0,,,,,0,,2019-11-15,5700000,57.0,4328.02,SSM Nagar,"3 BHK Flat for sale in Perungalathur, Chennai",₹57.0 L,"Perungalathur, Chennai","Situated at Alapakkam, New Perungalathur. SURROUNDED by well established schools & colleges. Tambaram eastern bypass is very close and surrounded by nature and serene. More About This Property Looking for a good 3 BHK Apartment in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 4. Maintenance charges of this property is Rs 3108. This Apartment is available for Rs 57.0 L. This modern unit has a built-up area of 1317 Square feet. The carpet area of this Apartment is 86.",,,,,,,,,,,,,none,,,2019-Q4,2019-Q3,112.57,112.48,6161.44,1.68,6.95,Growth,77.5,4.59,1.97,3.4
PROP-FDCB07611F18,Chennai,Padappai,,,Apartment,2,3,0,,,820,,,2.0,2.0,,,,,0,,2020-02-15,2500000,25.0,3048.78,"ARUN EXCELLO ,Padappai, Chennai","2 BHK Flat for sale in Padappai, Chennai",₹25.0 L,"ARUN EXCELLO ,Padappai, Chennai","Check out this 2 BHK Apartment for sale in Padappai, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Padappai is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 2. The property's price is Rs 25.0 L. Residents in this property pay Rs 1300 towards maintenance. This property is a modern-day abode, with 820 Square feet built-up area. The unit has 2 bedr.",,,,,,,,,,,,,none,,,2020-Q1,2019-Q4,114.83,114.54,6279.19,2.01,7.64,Growth,79.1,7.62,2.06,5.6
PROP-A74166BFD422,Chennai,Nungambakkam,,,Apartment,3,3,1,,,1658,,,3.0,3.0,,,,,0,,2022-05-15,26000000,260.0,15681.54,Ramcons Dominion,"3 BHK Flat for sale in Nungambakkam, Chennai",₹2.6 Cr,"Tirumurthy Nagar, Nungambakkam,Chennai","Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Chennai's top location, Nungambakkam. It is situated on floor 3. The total number of floors in this Apartment is 3. The property price of this unit is Rs 2.8 Cr. Monthly maintenance costs Rs 7500. The built-up area is 1658 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to Lady Andal Venkatasubbarao Matriculation School, MCC Matriculation Higher Secondary Sch.",,,,,,,,,,,,,none,,,2022-Q2,2022-Q1,133.89,133.84,7266.36,3.46,12.63,Growth,89.6,7.82,2.63,6.5
PROP-48E47A79C626,Chennai,Muttukadu,,,Apartment,4,5,1,,,4200,,,5.0,15.0,,,,North,0,,2020-02-15,29700000,297.0,7071.43,VGN Coasta,"4 BHK Flat for sale in Muttukadu, Chennai",₹2.97 Cr,"Muttukadu, Chennai","Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Muttukadu. It is situated on floor 5. The total number of floors in this Apartment is 15. The property price of this unit is Rs 2.97 Cr. Monthly maintenance costs Rs 14000. The built-up area is 4200 Square feet. There are 4 bedrooms and 5 bathroom. This property enjoys a good view and is North-facing. This property in Muttukadu, Chennai has lift facility as well. It is a safe premise with cctv facility. Other amenit.",,,,,,,,,,,,,none,,,2020-Q1,2019-Q4,114.83,114.54,6279.19,2.01,7.64,Growth,79.1,7.62,2.06,5.6
PROP-EEA71AC853AB,Chennai,Pozhichalur,,,Independent House,2,4,1,,,2838,,,,,,,,,0,,2019-11-15,16200000,162.0,5708.25,"Ramanathan Nagar, Pozhichalur,Chennai","2 BHK Independent House for sale in Pozhichalur, Chennai",₹1.62 Cr,"Ramanathan Nagar, Pozhichalur,Chennai","2 BHK Independent House for sale in Pozhichalur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Pozhichalur which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Pozhichalur. This 2 BHK Independent House is available at a reasonable price of Rs 1.62 Cr. The built-up area is 2838 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Deepam Hos.",,,,,,,,,,,,,none,,,2019-Q4,2019-Q3,112.57,112.48,6161.44,1.68,6.95,Growth,77.5,4.59,1.97,3.4
