city,locality,property_type,bhk,baths,has_balcony,area_sqft,price_lakhs,price_inr,price_per_sqft,description_clean,property_name,property_title,price_raw,location_raw
Chennai,Mahindra World City,Apartment,1,2,1,581,29.4,2940000.0,5060.24,"A 1 BHK Apartment for sale in Mahindra World City, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Mahindra World City's most desired properties. Contact now for more information. This 1 BHK unit is on floor 5. There are 7 floors in this property. The price of this Apartment is Rs 28.3 L. Maintenance charges come to Rs 1700. Each unit has a built-up area of 581 Square feet. The carpet area is 357 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near Government Schoo.",Mahindra Lifespaces Aqualilly Flexi Homes,"1 BHK Flat for sale in Mahindra World City, Chennai",₹29.4 L,"Mahindra World City, Chennai"
Chennai,Pallikaranai,Apartment,3,3,0,1444,130.0,13000000.0,9002.77,"Looking for a 3 BHK Apartment for sale in Chennai? Your search ends here. Buy this 3 BHK property in Chennai's finest location, Pallikaranai. This is an owner listed property and there is no brokerage involved. It is on floor 4 out of 11 floors. This Apartment is available at a reasonable price of Rs 1.3 Cr. Maintenance charges in this property is Rs 6500. The built up area of this property is 1444 Square feet. There are 3 bedrooms and 3 bathroom. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenities like Gym, Garden, Sports Fac.",DRA 90 Degrees,"3 BHK Flat for sale in Pallikaranai, Chennai",₹1.3 Cr,"Rose Avenue, Pallikaranai,Chennai"
Chennai,West Mambalam,Villa,6,1,1,6000,850.0,85000000.0,14166.67,"Looking for a 6 BHK Villa for sale in Chennai? Your search ends here. Buy this 6 BHK property in Chennai's finest location, West Mambalam. This is an owner listed property and there is no brokerage involved. This Villa is available at a reasonable price of Rs 8.5 Cr. Maintenance charges in this property is Rs 2000. The built up area of this property is 6000 Square feet. There are 6 bedrooms and 6 bathroom. There are a number of reputed schools in the vicinity such as Chennais Amirta International Institute Of Hotel Management, Padma Seshadri Bala Bhavan Senior Secondary School, and Hindu Vidhy.","Ramakrishna Puram, West Mambalam,Chennai","6 BHK Villa for sale in West Mambalam, Chennai",₹8.5 Cr,"Ramakrishna Puram, West Mambalam,Chennai"
Chennai,Ashok Nagar,Apartment,2,3,1,878,114.99999999999999,11499999.999999998,13097.95,"13a,4th Street, Ragavan colony, Ashok Nagar, Chennai-83 (near to r6 police station) More About This Property A 2 BHK Apartment for sale in Ashok Nagar, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Ashok Nagar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 1.15 Cr. Maintenance charges come to Rs 1000. Each unit has a built-up area of 878 Square feet. The carpet area is 672 Square feet. This South-f.","Deepak home,Mettuppalayam, Ashok Nagar,Chennai","2 BHK Flat for sale in Ashok Nagar, Chennai",₹1.15 Cr,"Deepak home,Mettuppalayam, Ashok Nagar,Chennai"
Chennai,Madambakkam,Apartment,2,3,0,944,49.0,4900000.0,5190.68,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Chennai's top location, Madambakkam. It is situated on floor 1. The total number of floors in this Apartment is 2. The property price of this unit is Rs 49.0 L. Monthly maintenance costs Rs 750. The carpet area of this unit is 650 Square feet. The built-up area is 944 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to KVN Vethathiri Matric School, St.John's M.","Chimaera Apartments,Madambakkam, Chennai","2 BHK Flat for sale in Madambakkam, Chennai",₹49.0 L,"Chimaera Apartments,Madambakkam, Chennai"
Chennai,Perungalathur,Apartment,3,3,0,1317,57.0,5700000.0,4328.02,"Situated at Alapakkam, New Perungalathur. SURROUNDED by well established schools & colleges. Tambaram eastern bypass is very close and surrounded by nature and serene. More About This Property Looking for a good 3 BHK Apartment in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 4. Maintenance charges of this property is Rs 3108. This Apartment is available for Rs 57.0 L. This modern unit has a built-up area of 1317 Square feet. The carpet area of this Apartment is 86.",SSM Nagar,"3 BHK Flat for sale in Perungalathur, Chennai",₹57.0 L,"Perungalathur, Chennai"
Chennai,Padappai,Apartment,2,3,0,820,25.0,2500000.0,3048.78,"Check out this 2 BHK Apartment for sale in Padappai, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Padappai is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 2. The property's price is Rs 25.0 L. Residents in this property pay Rs 1300 towards maintenance. This property is a modern-day abode, with 820 Square feet built-up area. The unit has 2 bedr.","ARUN EXCELLO ,Padappai, Chennai","2 BHK Flat for sale in Padappai, Chennai",₹25.0 L,"ARUN EXCELLO ,Padappai, Chennai"
Chennai,Nungambakkam,Apartment,3,3,1,1658,260.0,26000000.0,15681.54,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Chennai's top location, Nungambakkam. It is situated on floor 3. The total number of floors in this Apartment is 3. The property price of this unit is Rs 2.8 Cr. Monthly maintenance costs Rs 7500. The built-up area is 1658 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to Lady Andal Venkatasubbarao Matriculation School, MCC Matriculation Higher Secondary Sch.",Ramcons Dominion,"3 BHK Flat for sale in Nungambakkam, Chennai",₹2.6 Cr,"Tirumurthy Nagar, Nungambakkam,Chennai"
Chennai,Muttukadu,Apartment,4,5,1,4200,297.0,29700000.0,7071.43,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Muttukadu. It is situated on floor 5. The total number of floors in this Apartment is 15. The property price of this unit is Rs 2.97 Cr. Monthly maintenance costs Rs 14000. The built-up area is 4200 Square feet. There are 4 bedrooms and 5 bathroom. This property enjoys a good view and is North-facing. This property in Muttukadu, Chennai has lift facility as well. It is a safe premise with cctv facility. Other amenit.",VGN Coasta,"4 BHK Flat for sale in Muttukadu, Chennai",₹2.97 Cr,"Muttukadu, Chennai"
Chennai,Pozhichalur,Independent House,2,4,1,2838,162.0,16200000.0,5708.25,"2 BHK Independent House for sale in Pozhichalur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Pozhichalur which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Pozhichalur. This 2 BHK Independent House is available at a reasonable price of Rs 1.62 Cr. The built-up area is 2838 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Deepam Hos.","Ramanathan Nagar, Pozhichalur,Chennai","2 BHK Independent House for sale in Pozhichalur, Chennai",₹1.62 Cr,"Ramanathan Nagar, Pozhichalur,Chennai"
Chennai,Kolapakkam - Vandalur,Villa,3,3,0,1566,108.0,10800000.0,6896.55,"Close to Shriram IT Gateway and New Kilambakkam Bus Stand More About This Property Looking for a good 3 BHK Villa in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. This Villa is available for Rs 1.08 Cr. This modern unit has a built-up area of 1566 Square feet. This property has a good view and is South-East-facing. There are 3 bedrooms and 3 bathroom. This is a gated community. Cctv facility is provided to ensure safety. Sports enthusiasts have multiple options such as Gym, Garden, Sports Facility, Swimming Pool, Clubh.",CasaGrand Vistaaz,"3 BHK Villa for sale in Kolapakkam - Vandalur, Chennai",₹1.08 Cr,"Kolapakkam - Vandalur, Chennai"
Chennai,Thiruverkkadu,Apartment,4,4,1,2350,100.0,10000000.0,4255.32,"There are 5 blocks. And in the 5th block there are 5 Flats. We have custom built 2 apartments in that in the 1st and 2nd floors for our exclusive use ! Both can be used as Duplex, as internal staircase is provided. Both can be independent also. All cup boards and kitchen work completed. Kitchen cum dinning cum hall is one & spacious. Floor wise Area details: There are only 2 Floors. Built area: B4: First Floor. Built area - 1359 SQFT B5: Second Floor. Built area - 991 SQFT Total built area- 2350 SQFT. UDS: First Floor B4: UDS 1033 SQFT. Second Floor B5: UDS 650 SQFT. Total UDS .","penta concept enclave,Thiruverkkadu, Chennai","4 BHK Flat for sale in Thiruverkkadu, Chennai",₹1.0 Cr,"penta concept enclave,Thiruverkkadu, Chennai"
Chennai,Ayappakkam,Apartment,2,3,1,868,40.0,4000000.0,4608.29,"Check out this 2 BHK Apartment for sale in Ayappakkam, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Ayappakkam is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 2. The property's price is Rs 40.0 L. Residents in this property pay Rs 1350 towards maintenance. This property is a modern-day abode, with 868 Square feet built-up area. The unit has 2 .",VGN Platina,"2 BHK Flat for sale in Ayappakkam, Chennai",₹40.0 L,"MGR Nagar, Ayappakkam,Chennai"
Chennai,Choolaimedu,Apartment,2,3,1,926,89.0,8900000.0,9611.23,"Check out this 2 BHK Apartment for sale in Choolaimedu, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Choolaimedu is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 2. The property's price is Rs 89.0 L. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 926 Square feet built-up area. The unit has 2 b.","Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai","2 BHK Flat for sale in Choolaimedu, Chennai",₹89.0 L,"Ultra Amaar Avenue Phase 2,Choolaimedu, Chennai"
Chennai,Saidapet,Apartment,2,3,1,1090,63.0,6300000.0,5779.82,"2 BHK Apartment for sale in Chennai. This property is in Saidapet, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 58.0 L. Monthly maintenance charges come to Rs 1000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1090 Square feet. .","Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai","2 BHK Flat for sale in Saidapet, Chennai",₹63.0 L,"Vallalar Kudil,Sarathi Nagar, Saidapet,Chennai"
Chennai,Perungudi,Apartment,3,3,1,1307,90.0,9000000.0,6886.0,"Posh and spacious 3BHK flat with 3 balconies and one covered parking at the prime location of Perungudi.Well ventilated, ""ready to occupy flat"" with excellent woodwork done in all rooms and kitchen.Just 5 mts walk from ""World Trade Center."" Walking track and park opposite to building. All facilities are available nearby. 5 mts walk to bus stop. Local transport available like auto's. Vaastu-based flat with clear title. More About This Property 3 BHK Apartment for sale in Perungudi, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. .",Shakthi Mangalambikai Apartments,"3 BHK Flat for sale in Perungudi, Chennai",₹90.0 L,"Elim Nagar, Perungudi,Chennai"
Chennai,Senganmal,Apartment,1,2,1,605,25.0,2500000.0,4132.23,"1 BHK Apartment for sale in Senganmal, Chennai. This 1 BHK unit is available in Senganmal and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Senganmal. It is on floor 10. The total number of floors is 14. The price of this Apartment is Rs 25.0 L. Residents in this project also pay monthly maintenance charges of Rs 1663. The built-up area is 605 Square feet. There are 1 bedroom and 1 bathroom. The property is East-facing. This property is at a walking dista.",Akshaya January,"1 BHK Flat for sale in Senganmal, Chennai",₹25.0 L,"Senganmal, Chennai"
Chennai,Thirumullaivoyal,Apartment,2,3,1,967,49.5,4950000.0,5118.92,"Looking for a 2 BHK Apartment for sale in Chennai? Your search ends here. Buy this 2 BHK property in Chennai's finest location, Thirumullaivoyal. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 3 floors. This Apartment is available at a reasonable price of Rs 49.5 L. Maintenance charges in this property is Rs 1250. The built up area of this property is 967 Square feet. It is spacious for a family and this property has a carpet area of 865 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as .",Jamans,"2 BHK Flat for sale in Thirumullaivoyal, Chennai",₹49.5 L,"Vaishnavi Nagar, Thirumullaivoyal,Chennai"
Chennai,Kattur,Apartment,1,2,0,586,29.0,2900000.0,4948.81,"This property is a PERFECT fusion of Elegance, Quality, Comfort and Budget. At just 500 meters away from Tambaram-Velachery Main Road Sembakkam Bus Stop: 450 meters Camp road: 3 Kms Tambaram railway Station: 4.5 kms Medavakkam main junction: 3 kms. College: New Prince College, SIVET, MCC School: Sankara Vidyalaya, Alpha matriculation, Kendriya Vidyalaya Hospitals: Betheesda Health care, COSH Hospital, New Life Hospital, Hindu Mission Hospital Park: Municipality Children s park at 400 meters ATM: SBI ATM at 10 meters. Very well connected by all main roads, Airport, Railway station, Bus stop ve.","Live Green,Kattur, Chennai","1 BHK Flat for sale in Kattur, Chennai",₹29.0 L,"Live Green,Kattur, Chennai"
Chennai,Selaiyur,Apartment,2,3,0,1038,45.0,4500000.0,4335.26,"Looking for a good 2 BHK Apartment in Selaiyur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 2. Maintenance charges of this property is Rs 600. This Apartment is available for Rs 45.0 L. This modern unit has a built-up area of 1038 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Aarthi Hospital, Annai Theresa Hospital, and Sindu Eye Hospital. Established schools, such as Pleasant Valley Middle School, Government Primary Sc.",Sumeru Puthur City,"2 BHK Flat for sale in Selaiyur, Chennai",₹45.0 L,"Tiruvancheri, Selaiyur,Chennai"
Chennai,Sholinganallur,Apartment,3,3,0,1500,70.0,7000000.0,4666.67,"Check out this 3 BHK Apartment for sale in Sholinganallur, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Sholinganallur is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 4. The property's price is Rs 90.0 L. Residents in this property pay Rs 4500 towards maintenance. This property is a modern-day abode, with 1500 Square feet built-up area. The un.",Redmond Square,"3 BHK Flat for sale in Sholinganallur, Chennai",₹70.0 L,"Sholinganallur, Chennai"
Chennai,Semmancheri,Apartment,3,3,1,1133,46.0,4600000.0,4060.02,"3 BHK Apartment for sale in Chennai. This property is in Kamaraj Nagar, which is a coveted investment location. This tastefully designed 3 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 2. The price of the Apartment is Rs 46.0 L. Monthly maintenance charges come to Rs 1200. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1133 Square f.",Ambrosia Apartments,"3 BHK Flat for sale in Semmancheri, Chennai",₹46.0 L,"Semmanjeri, Semmancheri,Chennai"
Chennai,Saligramam,Apartment,2,3,1,1100,89.5,8950000.0,8136.36,"1100 sft well maintained 2 BHK flats with 547 sft UDS, woodwork, marble floor, covered car park,very close to main road with metro,hospitals and malls, property is on 30 road,with 24 hours water facility,etc More About This Property One of the finest property in Saligramam is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 2 storeyed building. The price of this Apartment is Rs 95.0 L. Other charges when you move into this property include maintenance, which is Rs 500. This Apartment is spacious with a built-up area of 11.","Annamalai Colony, Saligramam,Chennai","2 BHK Flat for sale in Saligramam, Chennai",₹89.5 L,"Annamalai Colony, Saligramam,Chennai"
Chennai,Thirumullaivoyal,Apartment,3,3,0,1024,45.0,4500000.0,4394.53,"Check out this 3 BHK Apartment for sale in Thirumullaivoyal, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Thirumullaivoyal is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 2. The property's price is Rs 45.0 L. This property is a modern-day abode, with 1024 Square feet built-up area. The unit has 3 bedrooms and 2 bathroom. Educational institutio.","Vn Nattrunai ,Thirumullaivoyal, Chennai","3 BHK Flat for sale in Thirumullaivoyal, Chennai",₹45.0 L,"Vn Nattrunai ,Thirumullaivoyal, Chennai"
Chennai,Sriperumbudur,Villa,3,3,1,1508,54.0,5400000.0,3580.9,"Brand New, nobody occupied, Maintained well, Vasthu compliant, East facing. ready for immediate occupation, Great place for investment, Not far from upcoming new international airport, Thirumaz isai where Vegetable market, Central bus station and metro rail are expected apart from it being selected for smart city More About This Property Check out this 3 BHK Villa for sale in Sriperumbudur, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Villa is perfect for a modern-day lifestyle. Sriperumbudur is a promising location in Chennai and t.","Krishna Nagar, Sriperumbudur,Chennai","3 BHK Villa for sale in Sriperumbudur, Chennai",₹54.0 L,"Krishna Nagar, Sriperumbudur,Chennai"
Chennai,Ponmar,Villa,3,3,1,1782,87.0,8700000.0,4882.15,"One of the finest property in Moolacheri is now available for sale. This is a 3 BHK Villa posted directly by owner. Make it yours now. The price of this Villa is Rs 1.01 Cr. This Villa is spacious with a built-up area of 1782 Square feet. There are 3 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Advent Christian Middle school, Christwood School, and Sri Shanmukha Vidhyalaya School. It is also close to good and reputed hospitals like Sri Isari Velan Mission Hospital",Jones Dawn Villas by Jones Foundations,"3 BHK Villa for sale in Ponmar, Chennai",₹87.0 L,"Ponmar, Chennai"
Chennai,Virugambakkam,Independent House,5,4,1,2500,250.0,25000000.0,10000.0,"Brokers, kindly excuse us. CMDA approved 5BHK East Facing independent house in AVM Avenue, Virugambakkam with 2BHK on ground floor, 2BHK on 1st floor and separate room and bath room in 2nd floor. The house comes with 2 car covered parking with plenty of two wheeler parking and with corporation water supplemented by borewell water. More About This Property 5 BHK Independent House for sale in Virugambakkam, Chennai. This 5 BHK unit is available in Virugambakkam and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for .","Swarnambigai Nagar, Virugambakkam,Chennai","5 BHK Independent House for sale in Virugambakkam, Chennai",₹2.5 Cr,"Swarnambigai Nagar, Virugambakkam,Chennai"
Chennai,Adyar,Apartment,2,3,1,900,70.0,7000000.0,7777.78,"2BHK flat of around 900 square feet situated in 2nd floor. It has very good ventilation and is airy. It is walkable by 10 mins to besant nagar beach , 10 mins to thiruvanmiyur bus stand, 7 mins to vannanthurai bus stand. All electrical fittings and woodwork is done and is ready to occupy. It has spacious bed rooms and large hall cum dining. It is located in Gangai Amman Koil Street, near TM maistry street. More About This Property Property for sale in Adyar, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no broker.","Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai","2 BHK Flat for sale in Adyar, Chennai",₹70.0 L,"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai"
Chennai,West Tambaram,Apartment,1,2,1,537,26.0,2600000.0,4841.71,"Check out this 1 BHK Apartment for sale in Tambaram, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 1 BHK Apartment is perfect for a modern-day lifestyle. Tambaram is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 4. The property's price is Rs 26.0 L. Residents in this property pay Rs 889 towards maintenance. This property is a modern-day abode, with 537 Square feet built-up area. The carpet-area is 3.",Khurinji Zinnia,"1 BHK Flat for sale in West Tambaram, Chennai",₹26.0 L,"Meenakshi Avenue, West Tambaram,Chennai"
Chennai,Kottavakkam,Independent House,2,3,1,1292,90.0,9000000.0,6965.94,"200M from Kottivakkam Bus Stand. 100M from KFC and mainroad ECR. Patta property. River sand building, strong construction. Can accommodate another floor. Located in prime location More About This Property One of the finest property in Kottavakkam is now available for sale. This is a 2 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 90.0 L. Other charges when you move into this property include maintenance, which is Rs 100. This Independent House is spacious with a built-up area of 1292 Square feet. The carpet area is 950 Square feet.","Kottavakkam, Chennai","2 BHK Independent House for sale in Kottavakkam, Chennai",₹90.0 L,"Kottavakkam, Chennai"
