trial,parameters,val_rmse,val_mae,val_r2,training_time
14,"{""n_estimators"": 411, ""max_depth"": 5, ""learning_rate"": 0.029772073416459613, ""subsample"": 0.5021037214661299, ""colsample_bytree"": 0.7298352190349779, ""min_child_weight"": 9, ""gamma"": 1.1829145120580766, ""reg_alpha"": 0.015030256833470224, ""reg_lambda"": 0.4067532453069991, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12422734.49,3756241.75,0.4071,1.501
15,"{""n_estimators"": 404, ""max_depth"": 5, ""learning_rate"": 0.027611067035851027, ""subsample"": 0.8902287610207519, ""colsample_bytree"": 0.7969997861483684, ""min_child_weight"": 10, ""gamma"": 2.6900814170299245, ""reg_alpha"": 0.01678715224793567, ""reg_lambda"": 0.41634799437363007, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12649734.57,3781513.0,0.3853,1.118
16,"{""n_estimators"": 405, ""max_depth"": 5, ""learning_rate"": 0.025287780029459923, ""subsample"": 0.5031534325412537, ""colsample_bytree"": 0.7408281850813538, ""min_child_weight"": 8, ""gamma"": 0.8077644145787642, ""reg_alpha"": 0.02323808734427686, ""reg_lambda"": 0.7290997286549971, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12392656.32,3748227.0,0.41,1.658
17,"{""n_estimators"": 401, ""max_depth"": 7, ""learning_rate"": 0.022364639183636396, ""subsample"": 0.8890524976684091, ""colsample_bytree"": 0.8448372126058836, ""min_child_weight"": 3, ""gamma"": 0.8202776798861497, ""reg_alpha"": 0.07406485001491889, ""reg_lambda"": 8.708130373565666, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12785775.37,3779915.5,0.372,2.383
18,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.01844482500231796, ""subsample"": 0.7299931044372592, ""colsample_bytree"": 0.6701816003320418, ""min_child_weight"": 8, ""gamma"": 1.7062370801273332, ""reg_alpha"": 0.0048274527328722215, ""reg_lambda"": 0.06603185421571747, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12481307.11,3731436.0,0.4015,1.702
19,"{""n_estimators"": 298, ""max_depth"": 7, ""learning_rate"": 0.042979588925995994, ""subsample"": 0.9956385980717997, ""colsample_bytree"": 0.9506303247958039, ""min_child_weight"": 3, ""gamma"": 0.6816839918166144, ""reg_alpha"": 0.04632898854340943, ""reg_lambda"": 0.8204637094236487, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12627471.1,3785747.5,0.3874,1.095
20,"{""n_estimators"": 377, ""max_depth"": 5, ""learning_rate"": 0.01661027022538833, ""subsample"": 0.6344370076601448, ""colsample_bytree"": 0.9941101879152675, ""min_child_weight"": 6, ""gamma"": 2.4555646668437587, ""reg_alpha"": 0.42556535544764307, ""reg_lambda"": 0.026154910812411912, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12602623.23,3770218.0,0.3898,0.629
21,"{""n_estimators"": 410, ""max_depth"": 5, ""learning_rate"": 0.031233123102420702, ""subsample"": 0.5292550840072806, ""colsample_bytree"": 0.7350693535304852, ""min_child_weight"": 9, ""gamma"": 1.4511316037209507, ""reg_alpha"": 0.019851381063929176, ""reg_lambda"": 0.6342464236307942, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12446090.8,3762238.5,0.4049,0.564
22,"{""n_estimators"": 443, ""max_depth"": 6, ""learning_rate"": 0.03250106188718527, ""subsample"": 0.5373558419912318, ""colsample_bytree"": 0.739011809991893, ""min_child_weight"": 9, ""gamma"": 0.5895074212079364, ""reg_alpha"": 0.007017110749133235, ""reg_lambda"": 0.18222102354755781, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12339844.98,3747081.0,0.415,0.927
23,"{""n_estimators"": 450, ""max_depth"": 6, ""learning_rate"": 0.035248624267241346, ""subsample"": 0.571142552118814, ""colsample_bytree"": 0.7958561724249666, ""min_child_weight"": 8, ""gamma"": 0.49501732528360504, ""reg_alpha"": 0.004321300278906142, ""reg_lambda"": 0.1278696988324444, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12432063.12,3761459.5,0.4062,0.905
24,"{""n_estimators"": 437, ""max_depth"": 7, ""learning_rate"": 0.0227311547392426, ""subsample"": 0.6169168347508136, ""colsample_bytree"": 0.6360268497073398, ""min_child_weight"": 9, ""gamma"": 0.5531133374932089, ""reg_alpha"": 0.007621130624926714, ""reg_lambda"": 0.12829176679078833, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12582964.0,3758963.5,0.3917,1.034
25,"{""n_estimators"": 321, ""max_depth"": 4, ""learning_rate"": 0.016825267554824316, ""subsample"": 0.538795009520271, ""colsample_bytree"": 0.7025769968768475, ""min_child_weight"": 7, ""gamma"": 0.9247483572458052, ""reg_alpha"": 0.0347402520780158, ""reg_lambda"": 1.1273718865458948, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12767387.72,3812745.0,0.3738,0.375
26,"{""n_estimators"": 378, ""max_depth"": 6, ""learning_rate"": 0.039465232047283375, ""subsample"": 0.6907464257490512, ""colsample_bytree"": 0.7708320090753885, ""min_child_weight"": 10, ""gamma"": 1.5075983079248996, ""reg_alpha"": 0.007305267311966701, ""reg_lambda"": 0.0356597404015473, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12405784.64,3743343.0,0.4087,0.432
27,"{""n_estimators"": 482, ""max_depth"": 6, ""learning_rate"": 0.03836848294602945, ""subsample"": 0.7271165146440632, ""colsample_bytree"": 0.8348556213216123, ""min_child_weight"": 10, ""gamma"": 1.5359437503308662, ""reg_alpha"": 0.001037232035612026, ""reg_lambda"": 0.02699328062041486, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12447217.67,3753103.25,0.4048,0.462
28,"{""n_estimators"": 359, ""max_depth"": 7, ""learning_rate"": 0.02280182886364528, ""subsample"": 0.6672569337501325, ""colsample_bytree"": 0.7582660429628234, ""min_child_weight"": 9, ""gamma"": 2.07743507492382, ""reg_alpha"": 0.006849736465965711, ""reg_lambda"": 0.0017818190279347385, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12637729.26,3767008.5,0.3864,0.502
29,"{""n_estimators"": 430, ""max_depth"": 8, ""learning_rate"": 0.059471883716831035, ""subsample"": 0.5476646329847751, ""colsample_bytree"": 0.6902915232193425, ""min_child_weight"": 7, ""gamma"": 0.37753482841770103, ""reg_alpha"": 0.03462259612812913, ""reg_lambda"": 0.25174720585057053, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""n_jobs"": -1}",12794948.8,3866128.25,0.3711,0.749
